
completed 1/165, Solved: True, number of success = 1/1, acc = 100.0
completed 77/165, Solved: False, number of success = 54/77, acc = 70.13
completed 78/165, Solved: False, number of success = 54/78, acc = 69.23

completed 79/165, Solved: False, number of success = 54/79, acc = 68.35
completed 80/165, Solved: False, number of success = 54/80, acc = 67.5
completed 81/165, Solved: False, number of success = 54/81, acc = 66.67
completed 82/165, Solved: False, number of success = 54/82, acc = 65.85
completed 83/165, Solved: False, number of success = 54/83, acc = 65.06
completed 84/165, Solved: False, number of success = 54/84, acc = 64.29

completed 85/165, Solved: False, number of success = 54/85, acc = 63.53
completed 86/165, Solved: False, number of success = 54/86, acc = 62.79
completed 87/165, Solved: False, number of success = 54/87, acc = 62.07

completed 88/165, Solved: True, number of success = 55/88, acc = 62.5
completed 89/165, Solved: True, number of success = 56/89, acc = 62.92
completed 90/165, Solved: True, number of success = 57/90, acc = 63.33
completed 91/165, Solved: True, number of success = 58/91, acc = 63.74
completed 92/165, Solved: True, number of success = 59/92, acc = 64.13

completed 93/165, Solved: True, number of success = 60/93, acc = 64.52
completed 94/165, Solved: True, number of success = 61/94, acc = 64.89
completed 95/165, Solved: True, number of success = 62/95, acc = 65.26
completed 96/165, Solved: True, number of success = 63/96, acc = 65.62
completed 97/165, Solved: True, number of success = 64/97, acc = 65.98
completed 98/165, Solved: True, number of success = 65/98, acc = 66.33

completed 99/165, Solved: True, number of success = 66/99, acc = 66.67
completed 100/165, Solved: True, number of success = 67/100, acc = 67.0
completed 101/165, Solved: True, number of success = 68/101, acc = 67.33
completed 102/165, Solved: True, number of success = 69/102, acc = 67.65
completed 103/165, Solved: True, number of success = 70/103, acc = 67.96
completed 104/165, Solved: True, number of success = 71/104, acc = 68.27
completed 105/165, Solved: True, number of success = 72/105, acc = 68.57
completed 106/165, Solved: True, number of success = 73/106, acc = 68.87

completed 107/165, Solved: True, number of success = 74/107, acc = 69.16
completed 108/165, Solved: True, number of success = 75/108, acc = 69.44
completed 109/165, Solved: True, number of success = 76/109, acc = 69.72
completed 110/165, Solved: True, number of success = 77/110, acc = 70.0
completed 111/165, Solved: True, number of success = 78/111, acc = 70.27
completed 112/165, Solved: True, number of success = 79/112, acc = 70.54
completed 113/165, Solved: True, number of success = 80/113, acc = 70.8

completed 114/165, Solved: True, number of success = 81/114, acc = 71.05
completed 115/165, Solved: True, number of success = 82/115, acc = 71.3
completed 116/165, Solved: True, number of success = 83/116, acc = 71.55
completed 117/165, Solved: True, number of success = 84/117, acc = 71.79
completed 118/165, Solved: True, number of success = 85/118, acc = 72.03
completed 119/165, Solved: True, number of success = 86/119, acc = 72.27

completed 120/165, Solved: True, number of success = 87/120, acc = 72.5
completed 121/165, Solved: True, number of success = 88/121, acc = 72.73
completed 122/165, Solved: True, number of success = 89/122, acc = 72.95
completed 123/165, Solved: True, number of success = 90/123, acc = 73.17
completed 124/165, Solved: True, number of success = 91/124, acc = 73.39
completed 125/165, Solved: True, number of success = 92/125, acc = 73.6
completed 126/165, Solved: True, number of success = 93/126, acc = 73.81
completed 127/165, Solved: True, number of success = 94/127, acc = 74.02

completed 128/165, Solved: False, number of success = 94/128, acc = 73.44
completed 129/165, Solved: False, number of success = 94/129, acc = 72.87
completed 130/165, Solved: False, number of success = 94/130, acc = 72.31
completed 131/165, Solved: False, number of success = 94/131, acc = 71.76
completed 132/165, Solved: False, number of success = 94/132, acc = 71.21

completed 133/165, Solved: True, number of success = 95/133, acc = 71.43
completed 134/165, Solved: True, number of success = 96/134, acc = 71.64
completed 135/165, Solved: True, number of success = 97/135, acc = 71.85
completed 136/165, Solved: True, number of success = 98/136, acc = 72.06
completed 137/165, Solved: True, number of success = 99/137, acc = 72.26
completed 138/165, Solved: True, number of success = 100/138, acc = 72.46
completed 139/165, Solved: True, number of success = 101/139, acc = 72.66

completed 140/165, Solved: True, number of success = 102/140, acc = 72.86
completed 141/165, Solved: True, number of success = 103/141, acc = 73.05
completed 142/165, Solved: True, number of success = 104/142, acc = 73.24
completed 143/165, Solved: True, number of success = 105/143, acc = 73.43
completed 144/165, Solved: True, number of success = 106/144, acc = 73.61
completed 145/165, Solved: True, number of success = 107/145, acc = 73.79
completed 146/165, Solved: True, number of success = 108/146, acc = 73.97
completed 147/165, Solved: True, number of success = 109/147, acc = 74.15

completed 148/165, Solved: False, number of success = 109/148, acc = 73.65
completed 149/165, Solved: False, number of success = 109/149, acc = 73.15
completed 150/165, Solved: False, number of success = 109/150, acc = 72.67
completed 151/165, Solved: False, number of success = 109/151, acc = 72.19
completed 152/165, Solved: False, number of success = 109/152, acc = 71.71
completed 153/165, Solved: False, number of success = 109/153, acc = 71.24
completed 154/165, Solved: False, number of success = 109/154, acc = 70.78

completed 155/165, Solved: True, number of success = 110/155, acc = 70.97
completed 156/165, Solved: True, number of success = 111/156, acc = 71.15
completed 157/165, Solved: True, number of success = 112/157, acc = 71.34
completed 158/165, Solved: True, number of success = 113/158, acc = 71.52
completed 159/165, Solved: True, number of success = 114/159, acc = 71.7
completed 160/165, Solved: True, number of success = 115/160, acc = 71.88

completed 161/165, Solved: True, number of success = 116/161, acc = 72.05
completed 162/165, Solved: True, number of success = 117/162, acc = 72.22
completed 163/165, Solved: True, number of success = 118/163, acc = 72.39
completed 164/165, Solved: True, number of success = 119/164, acc = 72.56
completed 165/165, Solved: True, number of success = 120/165, acc = 72.73

##################################################
Experiment end results/CC/CodeSIM/gpt-4o/Python3-0.0-0.95-1/Run-1, Time: 2025-12-05 01:02:11.694642
###################################################

