completed 1/150, Solved: False, number of success = 0/1, acc = 0.0
completed 62/150, Solved: False, number of success = 10/62, acc = 16.13
completed 63/150, Solved: False, number of success = 10/63, acc = 15.87
completed 64/150, Solved: False, number of success = 10/64, acc = 15.62
completed 65/150, Solved: False, number of success = 10/65, acc = 15.38
completed 66/150, Solved: False, number of success = 10/66, acc = 15.15
completed 67/150, Solved: False, number of success = 10/67, acc = 14.93
completed 68/150, Solved: False, number of success = 10/68, acc = 14.71
completed 69/150, Solved: False, number of success = 10/69, acc = 14.49
completed 70/150, Solved: False, number of success = 10/70, acc = 14.29
completed 71/150, Solved: False, number of success = 10/71, acc = 14.08
completed 72/150, Solved: False, number of success = 10/72, acc = 13.89
completed 73/150, Solved: False, number of success = 10/73, acc = 13.7
completed 74/150, Solved: False, number of success = 10/74, acc = 13.51
completed 75/150, Solved: False, number of success = 10/75, acc = 13.33
completed 76/150, Solved: False, number of success = 10/76, acc = 13.16
completed 77/150, Solved: False, number of success = 10/77, acc = 12.99
completed 78/150, Solved: False, number of success = 10/78, acc = 12.82
completed 79/150, Solved: False, number of success = 10/79, acc = 12.66
completed 80/150, Solved: False, number of success = 10/80, acc = 12.5
completed 81/150, Solved: False, number of success = 10/81, acc = 12.35
completed 82/150, Solved: False, number of success = 10/82, acc = 12.2
completed 83/150, Solved: False, number of success = 10/83, acc = 12.05
completed 84/150, Solved: False, number of success = 10/84, acc = 11.9
completed 85/150, Solved: False, number of success = 10/85, acc = 11.76
completed 86/150, Solved: False, number of success = 10/86, acc = 11.63
completed 87/150, Solved: False, number of success = 10/87, acc = 11.49
completed 88/150, Solved: False, number of success = 10/88, acc = 11.36
completed 89/150, Solved: False, number of success = 10/89, acc = 11.24
completed 90/150, Solved: False, number of success = 10/90, acc = 11.11
completed 91/150, Solved: False, number of success = 10/91, acc = 10.99
completed 92/150, Solved: False, number of success = 10/92, acc = 10.87
completed 93/150, Solved: False, number of success = 10/93, acc = 10.75
completed 94/150, Solved: False, number of success = 10/94, acc = 10.64
completed 95/150, Solved: False, number of success = 10/95, acc = 10.53
completed 96/150, Solved: False, number of success = 10/96, acc = 10.42
completed 97/150, Solved: False, number of success = 10/97, acc = 10.31
completed 98/150, Solved: False, number of success = 10/98, acc = 10.2
completed 99/150, Solved: False, number of success = 10/99, acc = 10.1
completed 100/150, Solved: False, number of success = 10/100, acc = 10.0
completed 101/150, Solved: False, number of success = 10/101, acc = 9.9
completed 102/150, Solved: False, number of success = 10/102, acc = 9.8
completed 103/150, Solved: True, number of success = 11/103, acc = 10.68
completed 104/150, Solved: True, number of success = 12/104, acc = 11.54
completed 105/150, Solved: False, number of success = 12/105, acc = 11.43
completed 106/150, Solved: False, number of success = 12/106, acc = 11.32
completed 107/150, Solved: True, number of success = 13/107, acc = 12.15
completed 108/150, Solved: False, number of success = 13/108, acc = 12.04
completed 109/150, Solved: False, number of success = 13/109, acc = 11.93
completed 110/150, Solved: True, number of success = 14/110, acc = 12.73
completed 111/150, Solved: False, number of success = 14/111, acc = 12.61
completed 112/150, Solved: False, number of success = 14/112, acc = 12.5
completed 113/150, Solved: True, number of success = 15/113, acc = 13.27
completed 114/150, Solved: False, number of success = 15/114, acc = 13.16
completed 115/150, Solved: False, number of success = 15/115, acc = 13.04
completed 116/150, Solved: True, number of success = 16/116, acc = 13.79
completed 117/150, Solved: True, number of success = 17/117, acc = 14.53
completed 118/150, Solved: False, number of success = 17/118, acc = 14.41
completed 119/150, Solved: False, number of success = 17/119, acc = 14.29
completed 120/150, Solved: False, number of success = 17/120, acc = 14.17
completed 121/150, Solved: False, number of success = 17/121, acc = 14.05
completed 122/150, Solved: False, number of success = 17/122, acc = 13.93
completed 123/150, Solved: False, number of success = 17/123, acc = 13.82
completed 124/150, Solved: False, number of success = 17/124, acc = 13.71
completed 125/150, Solved: False, number of success = 17/125, acc = 13.6
completed 126/150, Solved: False, number of success = 17/126, acc = 13.49
completed 127/150, Solved: False, number of success = 17/127, acc = 13.39
completed 128/150, Solved: False, number of success = 17/128, acc = 13.28
completed 129/150, Solved: True, number of success = 18/129, acc = 13.95
completed 130/150, Solved: False, number of success = 18/130, acc = 13.85
completed 131/150, Solved: False, number of success = 18/131, acc = 13.74
completed 132/150, Solved: False, number of success = 18/132, acc = 13.64
completed 133/150, Solved: False, number of success = 18/133, acc = 13.53
completed 134/150, Solved: False, number of success = 18/134, acc = 13.43
completed 135/150, Solved: False, number of success = 18/135, acc = 13.33
completed 136/150, Solved: False, number of success = 18/136, acc = 13.24
completed 137/150, Solved: False, number of success = 18/137, acc = 13.14
completed 138/150, Solved: False, number of success = 18/138, acc = 13.04
completed 139/150, Solved: False, number of success = 18/139, acc = 12.95
completed 140/150, Solved: False, number of success = 18/140, acc = 12.86
completed 141/150, Solved: False, number of success = 18/141, acc = 12.77
completed 142/150, Solved: False, number of success = 18/142, acc = 12.68
completed 143/150, Solved: True, number of success = 19/143, acc = 13.29
completed 144/150, Solved: False, number of success = 19/144, acc = 13.19
completed 145/150, Solved: True, number of success = 20/145, acc = 13.79
completed 146/150, Solved: True, number of success = 21/146, acc = 14.38
completed 147/150, Solved: False, number of success = 21/147, acc = 14.29
completed 148/150, Solved: False, number of success = 21/148, acc = 14.19
completed 149/150, Solved: False, number of success = 21/149, acc = 14.09
completed 150/150, Solved: False, number of success = 21/150, acc = 14.0

##################################################
Experiment end results/APPS/Analogical/gpt-4o/Python3-0.0-0.95-1/Run-1, Time: 2025-12-06 12:08:44.312272
###################################################

