completed 1/165, Solved: True, number of success = 1/1, acc = 100.0
completed 77/165, Solved: False, number of success = 27/77, acc = 35.06
completed 78/165, Solved: False, number of success = 27/78, acc = 34.62
completed 79/165, Solved: False, number of success = 27/79, acc = 34.18
completed 80/165, Solved: False, number of success = 27/80, acc = 33.75
completed 81/165, Solved: False, number of success = 27/81, acc = 33.33
completed 82/165, Solved: False, number of success = 27/82, acc = 32.93
completed 83/165, Solved: False, number of success = 27/83, acc = 32.53
completed 84/165, Solved: False, number of success = 27/84, acc = 32.14
completed 85/165, Solved: False, number of success = 27/85, acc = 31.76
completed 86/165, Solved: False, number of success = 27/86, acc = 31.4
completed 87/165, Solved: False, number of success = 27/87, acc = 31.03
completed 88/165, Solved: True, number of success = 28/88, acc = 31.82
completed 89/165, Solved: True, number of success = 29/89, acc = 32.58
completed 90/165, Solved: True, number of success = 30/90, acc = 33.33
completed 91/165, Solved: True, number of success = 31/91, acc = 34.07
completed 92/165, Solved: True, number of success = 32/92, acc = 34.78
completed 93/165, Solved: True, number of success = 33/93, acc = 35.48
completed 94/165, Solved: True, number of success = 34/94, acc = 36.17
completed 95/165, Solved: True, number of success = 35/95, acc = 36.84
completed 96/165, Solved: True, number of success = 36/96, acc = 37.5
completed 97/165, Solved: True, number of success = 37/97, acc = 38.14
completed 98/165, Solved: True, number of success = 38/98, acc = 38.78
completed 99/165, Solved: True, number of success = 39/99, acc = 39.39
completed 100/165, Solved: True, number of success = 40/100, acc = 40.0
completed 101/165, Solved: True, number of success = 41/101, acc = 40.59
completed 102/165, Solved: True, number of success = 42/102, acc = 41.18
completed 103/165, Solved: True, number of success = 43/103, acc = 41.75
completed 104/165, Solved: True, number of success = 44/104, acc = 42.31
completed 105/165, Solved: True, number of success = 45/105, acc = 42.86
completed 106/165, Solved: True, number of success = 46/106, acc = 43.4
completed 107/165, Solved: False, number of success = 46/107, acc = 42.99
completed 108/165, Solved: False, number of success = 46/108, acc = 42.59
completed 109/165, Solved: False, number of success = 46/109, acc = 42.2
completed 110/165, Solved: False, number of success = 46/110, acc = 41.82
completed 111/165, Solved: False, number of success = 46/111, acc = 41.44
completed 112/165, Solved: False, number of success = 46/112, acc = 41.07
completed 113/165, Solved: False, number of success = 46/113, acc = 40.71
completed 114/165, Solved: True, number of success = 47/114, acc = 41.23
completed 115/165, Solved: True, number of success = 48/115, acc = 41.74
completed 116/165, Solved: True, number of success = 49/116, acc = 42.24
completed 117/165, Solved: True, number of success = 50/117, acc = 42.74
completed 118/165, Solved: True, number of success = 51/118, acc = 43.22
completed 119/165, Solved: True, number of success = 52/119, acc = 43.7
completed 120/165, Solved: True, number of success = 53/120, acc = 44.17
completed 121/165, Solved: True, number of success = 54/121, acc = 44.63
completed 122/165, Solved: True, number of success = 55/122, acc = 45.08
completed 123/165, Solved: True, number of success = 56/123, acc = 45.53
completed 124/165, Solved: True, number of success = 57/124, acc = 45.97
completed 125/165, Solved: True, number of success = 58/125, acc = 46.4
completed 126/165, Solved: True, number of success = 59/126, acc = 46.83
completed 127/165, Solved: True, number of success = 60/127, acc = 47.24
completed 128/165, Solved: False, number of success = 60/128, acc = 46.88
completed 129/165, Solved: False, number of success = 60/129, acc = 46.51
completed 130/165, Solved: False, number of success = 60/130, acc = 46.15
completed 131/165, Solved: False, number of success = 60/131, acc = 45.8
completed 132/165, Solved: False, number of success = 60/132, acc = 45.45
completed 133/165, Solved: True, number of success = 61/133, acc = 45.86
completed 134/165, Solved: True, number of success = 62/134, acc = 46.27
completed 135/165, Solved: True, number of success = 63/135, acc = 46.67
completed 136/165, Solved: True, number of success = 64/136, acc = 47.06
completed 137/165, Solved: True, number of success = 65/137, acc = 47.45
completed 138/165, Solved: True, number of success = 66/138, acc = 47.83
completed 139/165, Solved: True, number of success = 67/139, acc = 48.2
completed 140/165, Solved: True, number of success = 68/140, acc = 48.57
completed 141/165, Solved: True, number of success = 69/141, acc = 48.94
completed 142/165, Solved: True, number of success = 70/142, acc = 49.3
completed 143/165, Solved: True, number of success = 71/143, acc = 49.65
completed 144/165, Solved: True, number of success = 72/144, acc = 50.0
completed 145/165, Solved: True, number of success = 73/145, acc = 50.34
completed 146/165, Solved: True, number of success = 74/146, acc = 50.68
completed 147/165, Solved: True, number of success = 75/147, acc = 51.02
completed 148/165, Solved: False, number of success = 75/148, acc = 50.68
completed 149/165, Solved: False, number of success = 75/149, acc = 50.34
completed 150/165, Solved: False, number of success = 75/150, acc = 50.0
completed 151/165, Solved: False, number of success = 75/151, acc = 49.67
completed 152/165, Solved: False, number of success = 75/152, acc = 49.34
completed 153/165, Solved: False, number of success = 75/153, acc = 49.02
completed 154/165, Solved: False, number of success = 75/154, acc = 48.7
completed 155/165, Solved: True, number of success = 76/155, acc = 49.03
completed 156/165, Solved: True, number of success = 77/156, acc = 49.36
completed 157/165, Solved: True, number of success = 78/157, acc = 49.68
completed 158/165, Solved: True, number of success = 79/158, acc = 50.0
completed 159/165, Solved: True, number of success = 80/159, acc = 50.31
completed 160/165, Solved: True, number of success = 81/160, acc = 50.62
completed 161/165, Solved: False, number of success = 81/161, acc = 50.31
completed 162/165, Solved: False, number of success = 81/162, acc = 50.0
completed 163/165, Solved: False, number of success = 81/163, acc = 49.69
completed 164/165, Solved: False, number of success = 81/164, acc = 49.39
completed 165/165, Solved: False, number of success = 81/165, acc = 49.09

##################################################
Experiment end results/CC/SelfPlanning/gpt-4o/Python3-0.0-0.95-1/Run-1, Time: 2025-12-06 11:46:22.728421
###################################################

