completed 1/165, Solved: True, number of success = 1/1, acc = 100.0
completed 77/165, Solved: False, number of success = 56/77, acc = 72.73
completed 78/165, Solved: False, number of success = 56/78, acc = 71.79
completed 79/165, Solved: False, number of success = 56/79, acc = 70.89
completed 80/165, Solved: False, number of success = 56/80, acc = 70.0
completed 81/165, Solved: False, number of success = 56/81, acc = 69.14
completed 82/165, Solved: False, number of success = 56/82, acc = 68.29
completed 83/165, Solved: False, number of success = 56/83, acc = 67.47
completed 84/165, Solved: False, number of success = 56/84, acc = 66.67
completed 85/165, Solved: True, number of success = 57/85, acc = 67.06
completed 86/165, Solved: True, number of success = 58/86, acc = 67.44
completed 87/165, Solved: True, number of success = 59/87, acc = 67.82
completed 88/165, Solved: False, number of success = 59/88, acc = 67.05
completed 89/165, Solved: False, number of success = 59/89, acc = 66.29
completed 90/165, Solved: False, number of success = 59/90, acc = 65.56
completed 91/165, Solved: False, number of success = 59/91, acc = 64.84
completed 92/165, Solved: False, number of success = 59/92, acc = 64.13
completed 93/165, Solved: False, number of success = 59/93, acc = 63.44
completed 94/165, Solved: False, number of success = 59/94, acc = 62.77
completed 95/165, Solved: False, number of success = 59/95, acc = 62.11
completed 96/165, Solved: False, number of success = 59/96, acc = 61.46
completed 97/165, Solved: False, number of success = 59/97, acc = 60.82
completed 98/165, Solved: False, number of success = 59/98, acc = 60.2
completed 99/165, Solved: True, number of success = 60/99, acc = 60.61
completed 100/165, Solved: True, number of success = 61/100, acc = 61.0
completed 101/165, Solved: True, number of success = 62/101, acc = 61.39
completed 102/165, Solved: True, number of success = 63/102, acc = 61.76
completed 103/165, Solved: True, number of success = 64/103, acc = 62.14
completed 104/165, Solved: True, number of success = 65/104, acc = 62.5
completed 105/165, Solved: True, number of success = 66/105, acc = 62.86
completed 106/165, Solved: True, number of success = 67/106, acc = 63.21
completed 107/165, Solved: True, number of success = 68/107, acc = 63.55
completed 108/165, Solved: True, number of success = 69/108, acc = 63.89
completed 109/165, Solved: True, number of success = 70/109, acc = 64.22
completed 110/165, Solved: True, number of success = 71/110, acc = 64.55
completed 111/165, Solved: True, number of success = 72/111, acc = 64.86
completed 112/165, Solved: True, number of success = 73/112, acc = 65.18
completed 113/165, Solved: True, number of success = 74/113, acc = 65.49
completed 114/165, Solved: True, number of success = 75/114, acc = 65.79
completed 115/165, Solved: True, number of success = 76/115, acc = 66.09
completed 116/165, Solved: True, number of success = 77/116, acc = 66.38
completed 117/165, Solved: True, number of success = 78/117, acc = 66.67
completed 118/165, Solved: True, number of success = 79/118, acc = 66.95
completed 119/165, Solved: True, number of success = 80/119, acc = 67.23
completed 120/165, Solved: True, number of success = 81/120, acc = 67.5
completed 121/165, Solved: True, number of success = 82/121, acc = 67.77
completed 122/165, Solved: True, number of success = 83/122, acc = 68.03
completed 123/165, Solved: True, number of success = 84/123, acc = 68.29
completed 124/165, Solved: True, number of success = 85/124, acc = 68.55
completed 125/165, Solved: True, number of success = 86/125, acc = 68.8
completed 126/165, Solved: True, number of success = 87/126, acc = 69.05
completed 127/165, Solved: True, number of success = 88/127, acc = 69.29
completed 128/165, Solved: False, number of success = 88/128, acc = 68.75
completed 129/165, Solved: False, number of success = 88/129, acc = 68.22
completed 130/165, Solved: False, number of success = 88/130, acc = 67.69
completed 131/165, Solved: False, number of success = 88/131, acc = 67.18
completed 132/165, Solved: False, number of success = 88/132, acc = 66.67
completed 133/165, Solved: True, number of success = 89/133, acc = 66.92
completed 134/165, Solved: True, number of success = 90/134, acc = 67.16
completed 135/165, Solved: True, number of success = 91/135, acc = 67.41
completed 136/165, Solved: True, number of success = 92/136, acc = 67.65
completed 137/165, Solved: True, number of success = 93/137, acc = 67.88
completed 138/165, Solved: True, number of success = 94/138, acc = 68.12
completed 139/165, Solved: True, number of success = 95/139, acc = 68.35
completed 140/165, Solved: True, number of success = 96/140, acc = 68.57
completed 141/165, Solved: True, number of success = 97/141, acc = 68.79
completed 142/165, Solved: True, number of success = 98/142, acc = 69.01
completed 143/165, Solved: True, number of success = 99/143, acc = 69.23
completed 144/165, Solved: True, number of success = 100/144, acc = 69.44
completed 145/165, Solved: True, number of success = 101/145, acc = 69.66
completed 146/165, Solved: True, number of success = 102/146, acc = 69.86
completed 147/165, Solved: True, number of success = 103/147, acc = 70.07
completed 148/165, Solved: False, number of success = 103/148, acc = 69.59
completed 149/165, Solved: False, number of success = 103/149, acc = 69.13
completed 150/165, Solved: False, number of success = 103/150, acc = 68.67
completed 151/165, Solved: False, number of success = 103/151, acc = 68.21
completed 152/165, Solved: False, number of success = 103/152, acc = 67.76
completed 153/165, Solved: False, number of success = 103/153, acc = 67.32
completed 154/165, Solved: False, number of success = 103/154, acc = 66.88
completed 155/165, Solved: True, number of success = 104/155, acc = 67.1
completed 156/165, Solved: True, number of success = 105/156, acc = 67.31
completed 157/165, Solved: True, number of success = 106/157, acc = 67.52
completed 158/165, Solved: True, number of success = 107/158, acc = 67.72
completed 159/165, Solved: True, number of success = 108/159, acc = 67.92
completed 160/165, Solved: True, number of success = 109/160, acc = 68.12
completed 161/165, Solved: True, number of success = 110/161, acc = 68.32
completed 162/165, Solved: True, number of success = 111/162, acc = 68.52
completed 163/165, Solved: True, number of success = 112/163, acc = 68.71
completed 164/165, Solved: True, number of success = 113/164, acc = 68.9
completed 165/165, Solved: True, number of success = 114/165, acc = 69.09

##################################################
Experiment end results/CC/MapCoder/gpt-4o/Python3-0.0-0.95-1/Run-1, Time: 2025-12-06 12:07:52.273267
###################################################

