
completed 1/150, Solved: False, number of success = 0/1, acc = 0.0
completed 53/150, Solved: False, number of success = 9/53, acc = 16.98

completed 54/150, Solved: False, number of success = 9/54, acc = 16.67

completed 55/150, Solved: True, number of success = 10/55, acc = 18.18

completed 56/150, Solved: False, number of success = 10/56, acc = 17.86

completed 57/150, Solved: False, number of success = 10/57, acc = 17.54

completed 58/150, Solved: False, number of success = 10/58, acc = 17.24

completed 59/150, Solved: False, number of success = 10/59, acc = 16.95

completed 60/150, Solved: False, number of success = 10/60, acc = 16.67

completed 61/150, Solved: False, number of success = 10/61, acc = 16.39

completed 62/150, Solved: True, number of success = 11/62, acc = 17.74

completed 63/150, Solved: False, number of success = 11/63, acc = 17.46

completed 64/150, Solved: False, number of success = 11/64, acc = 17.19

completed 65/150, Solved: False, number of success = 11/65, acc = 16.92
completed 66/150, Solved: False, number of success = 11/66, acc = 16.67

completed 67/150, Solved: False, number of success = 11/67, acc = 16.42

completed 68/150, Solved: False, number of success = 11/68, acc = 16.18

completed 69/150, Solved: False, number of success = 11/69, acc = 15.94

completed 70/150, Solved: False, number of success = 11/70, acc = 15.71

completed 71/150, Solved: False, number of success = 11/71, acc = 15.49
completed 72/150, Solved: False, number of success = 11/72, acc = 15.28

completed 73/150, Solved: False, number of success = 11/73, acc = 15.07

completed 74/150, Solved: False, number of success = 11/74, acc = 14.86
completed 75/150, Solved: False, number of success = 11/75, acc = 14.67
completed 76/150, Solved: False, number of success = 11/76, acc = 14.47
completed 77/150, Solved: False, number of success = 11/77, acc = 14.29

completed 78/150, Solved: True, number of success = 12/78, acc = 15.38
completed 79/150, Solved: False, number of success = 12/79, acc = 15.19
completed 80/150, Solved: True, number of success = 13/80, acc = 16.25
completed 81/150, Solved: False, number of success = 13/81, acc = 16.05

completed 82/150, Solved: False, number of success = 13/82, acc = 15.85

completed 83/150, Solved: False, number of success = 13/83, acc = 15.66

completed 84/150, Solved: False, number of success = 13/84, acc = 15.48

completed 85/150, Solved: False, number of success = 13/85, acc = 15.29
completed 86/150, Solved: True, number of success = 14/86, acc = 16.28
completed 87/150, Solved: False, number of success = 14/87, acc = 16.09
completed 88/150, Solved: True, number of success = 15/88, acc = 17.05
completed 89/150, Solved: False, number of success = 15/89, acc = 16.85

completed 1/150, Solved: False, number of success = 0/1, acc = 0.0
completed 2/150, Solved: False, number of success = 0/2, acc = 0.0
completed 3/150, Solved: False, number of success = 0/3, acc = 0.0
completed 4/150, Solved: True, number of success = 1/4, acc = 25.0
completed 5/150, Solved: False, number of success = 1/5, acc = 20.0
completed 6/150, Solved: False, number of success = 1/6, acc = 16.67
completed 7/150, Solved: True, number of success = 2/7, acc = 28.57
completed 8/150, Solved: False, number of success = 2/8, acc = 25.0
completed 9/150, Solved: False, number of success = 2/9, acc = 22.22
completed 10/150, Solved: False, number of success = 2/10, acc = 20.0
completed 11/150, Solved: False, number of success = 2/11, acc = 18.18
completed 12/150, Solved: False, number of success = 2/12, acc = 16.67
completed 13/150, Solved: False, number of success = 2/13, acc = 15.38
completed 14/150, Solved: True, number of success = 3/14, acc = 21.43
completed 15/150, Solved: False, number of success = 3/15, acc = 20.0
completed 16/150, Solved: True, number of success = 4/16, acc = 25.0
completed 17/150, Solved: False, number of success = 4/17, acc = 23.53
completed 18/150, Solved: False, number of success = 4/18, acc = 22.22
completed 19/150, Solved: False, number of success = 4/19, acc = 21.05
completed 20/150, Solved: False, number of success = 4/20, acc = 20.0
completed 21/150, Solved: False, number of success = 4/21, acc = 19.05
completed 22/150, Solved: False, number of success = 4/22, acc = 18.18
completed 23/150, Solved: False, number of success = 4/23, acc = 17.39
completed 24/150, Solved: True, number of success = 5/24, acc = 20.83
completed 25/150, Solved: False, number of success = 5/25, acc = 20.0
completed 26/150, Solved: False, number of success = 5/26, acc = 19.23
completed 27/150, Solved: False, number of success = 5/27, acc = 18.52
completed 28/150, Solved: False, number of success = 5/28, acc = 17.86
completed 29/150, Solved: True, number of success = 6/29, acc = 20.69
completed 30/150, Solved: False, number of success = 6/30, acc = 20.0
completed 31/150, Solved: False, number of success = 6/31, acc = 19.35
completed 32/150, Solved: False, number of success = 6/32, acc = 18.75
completed 33/150, Solved: True, number of success = 7/33, acc = 21.21
completed 34/150, Solved: False, number of success = 7/34, acc = 20.59
completed 35/150, Solved: False, number of success = 7/35, acc = 20.0
completed 36/150, Solved: False, number of success = 7/36, acc = 19.44
completed 37/150, Solved: False, number of success = 7/37, acc = 18.92
completed 38/150, Solved: True, number of success = 8/38, acc = 21.05
completed 39/150, Solved: False, number of success = 8/39, acc = 20.51
completed 40/150, Solved: False, number of success = 8/40, acc = 20.0
completed 41/150, Solved: False, number of success = 8/41, acc = 19.51
completed 42/150, Solved: False, number of success = 8/42, acc = 19.05
completed 43/150, Solved: False, number of success = 8/43, acc = 18.6
completed 44/150, Solved: False, number of success = 8/44, acc = 18.18
completed 45/150, Solved: False, number of success = 8/45, acc = 17.78
completed 46/150, Solved: False, number of success = 8/46, acc = 17.39
completed 47/150, Solved: True, number of success = 9/47, acc = 19.15
completed 48/150, Solved: False, number of success = 9/48, acc = 18.75
completed 49/150, Solved: False, number of success = 9/49, acc = 18.37
completed 50/150, Solved: False, number of success = 9/50, acc = 18.0
completed 51/150, Solved: False, number of success = 9/51, acc = 17.65
completed 52/150, Solved: False, number of success = 9/52, acc = 17.31
completed 53/150, Solved: False, number of success = 9/53, acc = 16.98
completed 54/150, Solved: False, number of success = 9/54, acc = 16.67
completed 55/150, Solved: True, number of success = 10/55, acc = 18.18
completed 56/150, Solved: False, number of success = 10/56, acc = 17.86
completed 57/150, Solved: False, number of success = 10/57, acc = 17.54
completed 58/150, Solved: False, number of success = 10/58, acc = 17.24
completed 59/150, Solved: False, number of success = 10/59, acc = 16.95
completed 60/150, Solved: False, number of success = 10/60, acc = 16.67
completed 61/150, Solved: False, number of success = 10/61, acc = 16.39
completed 62/150, Solved: True, number of success = 11/62, acc = 17.74
completed 63/150, Solved: False, number of success = 11/63, acc = 17.46
completed 64/150, Solved: False, number of success = 11/64, acc = 17.19
completed 65/150, Solved: False, number of success = 11/65, acc = 16.92
completed 66/150, Solved: False, number of success = 11/66, acc = 16.67
completed 67/150, Solved: False, number of success = 11/67, acc = 16.42
completed 68/150, Solved: False, number of success = 11/68, acc = 16.18
completed 69/150, Solved: False, number of success = 11/69, acc = 15.94
completed 70/150, Solved: False, number of success = 11/70, acc = 15.71
completed 71/150, Solved: False, number of success = 11/71, acc = 15.49
completed 72/150, Solved: False, number of success = 11/72, acc = 15.28
completed 73/150, Solved: False, number of success = 11/73, acc = 15.07
completed 74/150, Solved: False, number of success = 11/74, acc = 14.86
completed 75/150, Solved: False, number of success = 11/75, acc = 14.67
completed 76/150, Solved: False, number of success = 11/76, acc = 14.47
completed 77/150, Solved: False, number of success = 11/77, acc = 14.29
completed 78/150, Solved: True, number of success = 12/78, acc = 15.38
completed 79/150, Solved: False, number of success = 12/79, acc = 15.19
completed 80/150, Solved: True, number of success = 13/80, acc = 16.25
completed 81/150, Solved: False, number of success = 13/81, acc = 16.05
completed 82/150, Solved: False, number of success = 13/82, acc = 15.85
completed 83/150, Solved: False, number of success = 13/83, acc = 15.66
completed 84/150, Solved: False, number of success = 13/84, acc = 15.48
completed 85/150, Solved: False, number of success = 13/85, acc = 15.29
completed 86/150, Solved: True, number of success = 14/86, acc = 16.28
completed 87/150, Solved: False, number of success = 14/87, acc = 16.09
completed 88/150, Solved: True, number of success = 15/88, acc = 17.05
completed 89/150, Solved: False, number of success = 15/89, acc = 16.85

completed 90/150, Solved: False, number of success = 15/90, acc = 16.67

completed 91/150, Solved: False, number of success = 15/91, acc = 16.48
completed 92/150, Solved: False, number of success = 15/92, acc = 16.3
completed 93/150, Solved: False, number of success = 15/93, acc = 16.13

completed 94/150, Solved: False, number of success = 15/94, acc = 15.96
completed 95/150, Solved: False, number of success = 15/95, acc = 15.79
completed 96/150, Solved: False, number of success = 15/96, acc = 15.62
completed 97/150, Solved: False, number of success = 15/97, acc = 15.46
completed 98/150, Solved: False, number of success = 15/98, acc = 15.31

completed 99/150, Solved: False, number of success = 15/99, acc = 15.15

completed 100/150, Solved: True, number of success = 16/100, acc = 16.0

completed 101/150, Solved: False, number of success = 16/101, acc = 15.84

completed 102/150, Solved: False, number of success = 16/102, acc = 15.69

completed 103/150, Solved: True, number of success = 17/103, acc = 16.5

completed 104/150, Solved: True, number of success = 18/104, acc = 17.31

completed 105/150, Solved: True, number of success = 19/105, acc = 18.1

completed 106/150, Solved: True, number of success = 20/106, acc = 18.87

completed 107/150, Solved: False, number of success = 20/107, acc = 18.69

completed 108/150, Solved: False, number of success = 20/108, acc = 18.52

completed 109/150, Solved: False, number of success = 20/109, acc = 18.35

completed 110/150, Solved: True, number of success = 21/110, acc = 19.09

completed 111/150, Solved: False, number of success = 21/111, acc = 18.92

completed 112/150, Solved: False, number of success = 21/112, acc = 18.75

completed 113/150, Solved: True, number of success = 22/113, acc = 19.47

completed 114/150, Solved: False, number of success = 22/114, acc = 19.3

completed 115/150, Solved: True, number of success = 23/115, acc = 20.0

completed 116/150, Solved: True, number of success = 24/116, acc = 20.69

completed 117/150, Solved: True, number of success = 25/117, acc = 21.37

completed 118/150, Solved: False, number of success = 25/118, acc = 21.19

completed 119/150, Solved: False, number of success = 25/119, acc = 21.01

completed 120/150, Solved: False, number of success = 25/120, acc = 20.83

completed 121/150, Solved: True, number of success = 26/121, acc = 21.49

completed 122/150, Solved: False, number of success = 26/122, acc = 21.31

completed 123/150, Solved: False, number of success = 26/123, acc = 21.14

completed 124/150, Solved: False, number of success = 26/124, acc = 20.97

completed 125/150, Solved: False, number of success = 26/125, acc = 20.8

completed 126/150, Solved: False, number of success = 26/126, acc = 20.63

completed 127/150, Solved: False, number of success = 26/127, acc = 20.47

completed 128/150, Solved: True, number of success = 27/128, acc = 21.09

completed 129/150, Solved: True, number of success = 28/129, acc = 21.71

completed 130/150, Solved: False, number of success = 28/130, acc = 21.54

completed 131/150, Solved: False, number of success = 28/131, acc = 21.37

completed 132/150, Solved: False, number of success = 28/132, acc = 21.21

completed 133/150, Solved: False, number of success = 28/133, acc = 21.05

completed 134/150, Solved: False, number of success = 28/134, acc = 20.9

completed 135/150, Solved: False, number of success = 28/135, acc = 20.74

completed 136/150, Solved: False, number of success = 28/136, acc = 20.59

completed 137/150, Solved: False, number of success = 28/137, acc = 20.44

completed 138/150, Solved: True, number of success = 29/138, acc = 21.01

completed 139/150, Solved: True, number of success = 30/139, acc = 21.58

completed 140/150, Solved: False, number of success = 30/140, acc = 21.43

completed 141/150, Solved: False, number of success = 30/141, acc = 21.28

completed 142/150, Solved: True, number of success = 31/142, acc = 21.83

completed 143/150, Solved: True, number of success = 32/143, acc = 22.38

completed 144/150, Solved: False, number of success = 32/144, acc = 22.22

completed 145/150, Solved: True, number of success = 33/145, acc = 22.76

completed 146/150, Solved: True, number of success = 34/146, acc = 23.29
completed 147/150, Solved: False, number of success = 34/147, acc = 23.13

completed 148/150, Solved: True, number of success = 35/148, acc = 23.65

completed 149/150, Solved: False, number of success = 35/149, acc = 23.49
completed 150/150, Solved: False, number of success = 35/150, acc = 23.33

##################################################
Experiment end results/APPS/CodeSIM/gpt-4o/Python3-0.0-0.95-1/Run-1, Time: 2025-12-06 03:11:35.584583
###################################################

