completed 1/150, Solved: False, number of success = 0/1, acc = 0.0
completed 62/150, Solved: True, number of success = 11/62, acc = 17.74
completed 63/150, Solved: False, number of success = 11/63, acc = 17.46
completed 64/150, Solved: False, number of success = 11/64, acc = 17.19
completed 65/150, Solved: False, number of success = 11/65, acc = 16.92
completed 66/150, Solved: False, number of success = 11/66, acc = 16.67
completed 67/150, Solved: False, number of success = 11/67, acc = 16.42
completed 68/150, Solved: False, number of success = 11/68, acc = 16.18
completed 69/150, Solved: False, number of success = 11/69, acc = 15.94
completed 70/150, Solved: False, number of success = 11/70, acc = 15.71
completed 71/150, Solved: False, number of success = 11/71, acc = 15.49
completed 72/150, Solved: False, number of success = 11/72, acc = 15.28
completed 73/150, Solved: False, number of success = 11/73, acc = 15.07
completed 74/150, Solved: False, number of success = 11/74, acc = 14.86
completed 75/150, Solved: False, number of success = 11/75, acc = 14.67
completed 76/150, Solved: False, number of success = 11/76, acc = 14.47
completed 77/150, Solved: False, number of success = 11/77, acc = 14.29
completed 78/150, Solved: False, number of success = 11/78, acc = 14.1
completed 79/150, Solved: False, number of success = 11/79, acc = 13.92
completed 80/150, Solved: True, number of success = 12/80, acc = 15.0
completed 81/150, Solved: False, number of success = 12/81, acc = 14.81
completed 82/150, Solved: False, number of success = 12/82, acc = 14.63
completed 83/150, Solved: False, number of success = 12/83, acc = 14.46
completed 84/150, Solved: False, number of success = 12/84, acc = 14.29
completed 85/150, Solved: False, number of success = 12/85, acc = 14.12
completed 86/150, Solved: False, number of success = 12/86, acc = 13.95
completed 87/150, Solved: False, number of success = 12/87, acc = 13.79
completed 88/150, Solved: True, number of success = 13/88, acc = 14.77
completed 89/150, Solved: False, number of success = 13/89, acc = 14.61
completed 90/150, Solved: False, number of success = 13/90, acc = 14.44
completed 91/150, Solved: False, number of success = 13/91, acc = 14.29
completed 92/150, Solved: False, number of success = 13/92, acc = 14.13
completed 93/150, Solved: False, number of success = 13/93, acc = 13.98
completed 94/150, Solved: False, number of success = 13/94, acc = 13.83
completed 95/150, Solved: False, number of success = 13/95, acc = 13.68
completed 96/150, Solved: False, number of success = 13/96, acc = 13.54
completed 97/150, Solved: False, number of success = 13/97, acc = 13.4
completed 98/150, Solved: False, number of success = 13/98, acc = 13.27
completed 99/150, Solved: False, number of success = 13/99, acc = 13.13
completed 100/150, Solved: True, number of success = 14/100, acc = 14.0
completed 101/150, Solved: False, number of success = 14/101, acc = 13.86
completed 102/150, Solved: False, number of success = 14/102, acc = 13.73
completed 103/150, Solved: True, number of success = 15/103, acc = 14.56
completed 104/150, Solved: True, number of success = 16/104, acc = 15.38
completed 105/150, Solved: True, number of success = 17/105, acc = 16.19
completed 106/150, Solved: False, number of success = 17/106, acc = 16.04
completed 107/150, Solved: True, number of success = 18/107, acc = 16.82
completed 108/150, Solved: False, number of success = 18/108, acc = 16.67
completed 109/150, Solved: False, number of success = 18/109, acc = 16.51
completed 110/150, Solved: True, number of success = 19/110, acc = 17.27
completed 111/150, Solved: False, number of success = 19/111, acc = 17.12
completed 112/150, Solved: False, number of success = 19/112, acc = 16.96
completed 113/150, Solved: True, number of success = 20/113, acc = 17.7
completed 114/150, Solved: False, number of success = 20/114, acc = 17.54
completed 115/150, Solved: False, number of success = 20/115, acc = 17.39
completed 116/150, Solved: True, number of success = 21/116, acc = 18.1
completed 117/150, Solved: True, number of success = 22/117, acc = 18.8
completed 118/150, Solved: False, number of success = 22/118, acc = 18.64
completed 119/150, Solved: False, number of success = 22/119, acc = 18.49
completed 120/150, Solved: False, number of success = 22/120, acc = 18.33
completed 121/150, Solved: True, number of success = 23/121, acc = 19.01
completed 122/150, Solved: False, number of success = 23/122, acc = 18.85
completed 123/150, Solved: False, number of success = 23/123, acc = 18.7
completed 124/150, Solved: False, number of success = 23/124, acc = 18.55
completed 125/150, Solved: False, number of success = 23/125, acc = 18.4
completed 126/150, Solved: False, number of success = 23/126, acc = 18.25
completed 127/150, Solved: False, number of success = 23/127, acc = 18.11
completed 128/150, Solved: False, number of success = 23/128, acc = 17.97
completed 129/150, Solved: True, number of success = 24/129, acc = 18.6
completed 130/150, Solved: False, number of success = 24/130, acc = 18.46
completed 131/150, Solved: False, number of success = 24/131, acc = 18.32
completed 132/150, Solved: False, number of success = 24/132, acc = 18.18
completed 133/150, Solved: False, number of success = 24/133, acc = 18.05
completed 134/150, Solved: False, number of success = 24/134, acc = 17.91
completed 135/150, Solved: False, number of success = 24/135, acc = 17.78
completed 136/150, Solved: False, number of success = 24/136, acc = 17.65
completed 137/150, Solved: False, number of success = 24/137, acc = 17.52
completed 138/150, Solved: True, number of success = 25/138, acc = 18.12
completed 139/150, Solved: True, number of success = 26/139, acc = 18.71
completed 140/150, Solved: False, number of success = 26/140, acc = 18.57
completed 141/150, Solved: False, number of success = 26/141, acc = 18.44
completed 142/150, Solved: True, number of success = 27/142, acc = 19.01
completed 143/150, Solved: True, number of success = 28/143, acc = 19.58
completed 144/150, Solved: False, number of success = 28/144, acc = 19.44
completed 145/150, Solved: True, number of success = 29/145, acc = 20.0
completed 146/150, Solved: True, number of success = 30/146, acc = 20.55
completed 147/150, Solved: False, number of success = 30/147, acc = 20.41
completed 148/150, Solved: True, number of success = 31/148, acc = 20.95
completed 149/150, Solved: False, number of success = 31/149, acc = 20.81
completed 150/150, Solved: False, number of success = 31/150, acc = 20.67

##################################################
Experiment end results/APPS/MapCoder/gpt-4o/Python3-0.0-0.95-1/Run-1, Time: 2025-12-06 14:32:12.315440
###################################################

