completed 1/165, Solved: True, number of success = 1/1, acc = 100.0
completed 77/165, Solved: False, number of success = 33/77, acc = 42.86
completed 78/165, Solved: False, number of success = 33/78, acc = 42.31
completed 79/165, Solved: False, number of success = 33/79, acc = 41.77
completed 80/165, Solved: False, number of success = 33/80, acc = 41.25
completed 81/165, Solved: False, number of success = 33/81, acc = 40.74
completed 82/165, Solved: False, number of success = 33/82, acc = 40.24
completed 83/165, Solved: False, number of success = 33/83, acc = 39.76
completed 84/165, Solved: False, number of success = 33/84, acc = 39.29
completed 85/165, Solved: False, number of success = 33/85, acc = 38.82
completed 86/165, Solved: False, number of success = 33/86, acc = 38.37
completed 87/165, Solved: False, number of success = 33/87, acc = 37.93
completed 88/165, Solved: False, number of success = 33/88, acc = 37.5
completed 89/165, Solved: False, number of success = 33/89, acc = 37.08
completed 90/165, Solved: False, number of success = 33/90, acc = 36.67
completed 91/165, Solved: False, number of success = 33/91, acc = 36.26
completed 92/165, Solved: False, number of success = 33/92, acc = 35.87
completed 93/165, Solved: False, number of success = 33/93, acc = 35.48
completed 94/165, Solved: False, number of success = 33/94, acc = 35.11
completed 95/165, Solved: False, number of success = 33/95, acc = 34.74
completed 96/165, Solved: False, number of success = 33/96, acc = 34.38
completed 97/165, Solved: False, number of success = 33/97, acc = 34.02
completed 98/165, Solved: False, number of success = 33/98, acc = 33.67
completed 99/165, Solved: True, number of success = 34/99, acc = 34.34
completed 100/165, Solved: True, number of success = 35/100, acc = 35.0
completed 101/165, Solved: True, number of success = 36/101, acc = 35.64
completed 102/165, Solved: True, number of success = 37/102, acc = 36.27
completed 103/165, Solved: True, number of success = 38/103, acc = 36.89
completed 104/165, Solved: True, number of success = 39/104, acc = 37.5
completed 105/165, Solved: True, number of success = 40/105, acc = 38.1
completed 106/165, Solved: True, number of success = 41/106, acc = 38.68
completed 107/165, Solved: False, number of success = 41/107, acc = 38.32
completed 108/165, Solved: False, number of success = 41/108, acc = 37.96
completed 109/165, Solved: False, number of success = 41/109, acc = 37.61
completed 110/165, Solved: False, number of success = 41/110, acc = 37.27
completed 111/165, Solved: False, number of success = 41/111, acc = 36.94
completed 112/165, Solved: False, number of success = 41/112, acc = 36.61
completed 113/165, Solved: False, number of success = 41/113, acc = 36.28
completed 114/165, Solved: True, number of success = 42/114, acc = 36.84
completed 115/165, Solved: True, number of success = 43/115, acc = 37.39
completed 116/165, Solved: True, number of success = 44/116, acc = 37.93
completed 117/165, Solved: True, number of success = 45/117, acc = 38.46
completed 118/165, Solved: True, number of success = 46/118, acc = 38.98
completed 119/165, Solved: True, number of success = 47/119, acc = 39.5
completed 120/165, Solved: True, number of success = 48/120, acc = 40.0
completed 121/165, Solved: True, number of success = 49/121, acc = 40.5
completed 122/165, Solved: True, number of success = 50/122, acc = 40.98
completed 123/165, Solved: True, number of success = 51/123, acc = 41.46
completed 124/165, Solved: True, number of success = 52/124, acc = 41.94
completed 125/165, Solved: True, number of success = 53/125, acc = 42.4
completed 126/165, Solved: True, number of success = 54/126, acc = 42.86
completed 127/165, Solved: True, number of success = 55/127, acc = 43.31
completed 128/165, Solved: False, number of success = 55/128, acc = 42.97
completed 129/165, Solved: False, number of success = 55/129, acc = 42.64
completed 130/165, Solved: False, number of success = 55/130, acc = 42.31
completed 131/165, Solved: False, number of success = 55/131, acc = 41.98
completed 132/165, Solved: False, number of success = 55/132, acc = 41.67
completed 133/165, Solved: True, number of success = 56/133, acc = 42.11
completed 134/165, Solved: True, number of success = 57/134, acc = 42.54
completed 135/165, Solved: True, number of success = 58/135, acc = 42.96
completed 136/165, Solved: True, number of success = 59/136, acc = 43.38
completed 137/165, Solved: True, number of success = 60/137, acc = 43.8
completed 138/165, Solved: True, number of success = 61/138, acc = 44.2
completed 139/165, Solved: True, number of success = 62/139, acc = 44.6
completed 140/165, Solved: True, number of success = 63/140, acc = 45.0
completed 141/165, Solved: True, number of success = 64/141, acc = 45.39
completed 142/165, Solved: True, number of success = 65/142, acc = 45.77
completed 143/165, Solved: True, number of success = 66/143, acc = 46.15
completed 144/165, Solved: True, number of success = 67/144, acc = 46.53
completed 145/165, Solved: True, number of success = 68/145, acc = 46.9
completed 146/165, Solved: True, number of success = 69/146, acc = 47.26
completed 147/165, Solved: True, number of success = 70/147, acc = 47.62
completed 148/165, Solved: False, number of success = 70/148, acc = 47.3
completed 149/165, Solved: False, number of success = 70/149, acc = 46.98
completed 150/165, Solved: False, number of success = 70/150, acc = 46.67
completed 151/165, Solved: False, number of success = 70/151, acc = 46.36
completed 152/165, Solved: False, number of success = 70/152, acc = 46.05
completed 153/165, Solved: False, number of success = 70/153, acc = 45.75
completed 154/165, Solved: False, number of success = 70/154, acc = 45.45
completed 155/165, Solved: False, number of success = 70/155, acc = 45.16
completed 156/165, Solved: False, number of success = 70/156, acc = 44.87
completed 157/165, Solved: False, number of success = 70/157, acc = 44.59
completed 158/165, Solved: False, number of success = 70/158, acc = 44.3
completed 159/165, Solved: False, number of success = 70/159, acc = 44.03
completed 160/165, Solved: False, number of success = 70/160, acc = 43.75
completed 161/165, Solved: False, number of success = 70/161, acc = 43.48
completed 162/165, Solved: False, number of success = 70/162, acc = 43.21
completed 163/165, Solved: False, number of success = 70/163, acc = 42.94
completed 164/165, Solved: False, number of success = 70/164, acc = 42.68
completed 165/165, Solved: False, number of success = 70/165, acc = 42.42

##################################################
Experiment end results/CC/Direct/gpt-4o/Python3-0.0-0.95-1/Run-1, Time: 2025-12-07 07:40:37.142314
###################################################

