completed 1/165, Solved: True, number of success = 1/1, acc = 100.0
completed 77/165, Solved: False, number of success = 28/77, acc = 36.36
completed 78/165, Solved: False, number of success = 28/78, acc = 35.9
completed 79/165, Solved: False, number of success = 28/79, acc = 35.44
completed 80/165, Solved: False, number of success = 28/80, acc = 35.0
completed 81/165, Solved: False, number of success = 28/81, acc = 34.57
completed 82/165, Solved: False, number of success = 28/82, acc = 34.15
completed 83/165, Solved: False, number of success = 28/83, acc = 33.73
completed 84/165, Solved: False, number of success = 28/84, acc = 33.33
completed 85/165, Solved: False, number of success = 28/85, acc = 32.94
completed 86/165, Solved: False, number of success = 28/86, acc = 32.56
completed 87/165, Solved: False, number of success = 28/87, acc = 32.18
completed 88/165, Solved: True, number of success = 29/88, acc = 32.95
completed 89/165, Solved: True, number of success = 30/89, acc = 33.71
completed 90/165, Solved: True, number of success = 31/90, acc = 34.44
completed 91/165, Solved: True, number of success = 32/91, acc = 35.16
completed 92/165, Solved: True, number of success = 33/92, acc = 35.87
completed 93/165, Solved: True, number of success = 34/93, acc = 36.56
completed 94/165, Solved: True, number of success = 35/94, acc = 37.23
completed 95/165, Solved: True, number of success = 36/95, acc = 37.89
completed 96/165, Solved: True, number of success = 37/96, acc = 38.54
completed 97/165, Solved: True, number of success = 38/97, acc = 39.18
completed 98/165, Solved: True, number of success = 39/98, acc = 39.8
completed 99/165, Solved: True, number of success = 40/99, acc = 40.4
completed 100/165, Solved: True, number of success = 41/100, acc = 41.0
completed 101/165, Solved: True, number of success = 42/101, acc = 41.58
completed 102/165, Solved: True, number of success = 43/102, acc = 42.16
completed 103/165, Solved: True, number of success = 44/103, acc = 42.72
completed 104/165, Solved: True, number of success = 45/104, acc = 43.27
completed 105/165, Solved: True, number of success = 46/105, acc = 43.81
completed 106/165, Solved: True, number of success = 47/106, acc = 44.34
completed 107/165, Solved: False, number of success = 47/107, acc = 43.93
completed 108/165, Solved: False, number of success = 47/108, acc = 43.52
completed 109/165, Solved: False, number of success = 47/109, acc = 43.12
completed 110/165, Solved: False, number of success = 47/110, acc = 42.73
completed 111/165, Solved: False, number of success = 47/111, acc = 42.34
completed 112/165, Solved: False, number of success = 47/112, acc = 41.96
completed 113/165, Solved: False, number of success = 47/113, acc = 41.59
completed 114/165, Solved: True, number of success = 48/114, acc = 42.11
completed 115/165, Solved: True, number of success = 49/115, acc = 42.61
completed 116/165, Solved: True, number of success = 50/116, acc = 43.1
completed 117/165, Solved: True, number of success = 51/117, acc = 43.59
completed 118/165, Solved: True, number of success = 52/118, acc = 44.07
completed 119/165, Solved: True, number of success = 53/119, acc = 44.54
completed 120/165, Solved: False, number of success = 53/120, acc = 44.17
completed 121/165, Solved: False, number of success = 53/121, acc = 43.8
completed 122/165, Solved: False, number of success = 53/122, acc = 43.44
completed 123/165, Solved: False, number of success = 53/123, acc = 43.09
completed 124/165, Solved: False, number of success = 53/124, acc = 42.74
completed 125/165, Solved: False, number of success = 53/125, acc = 42.4
completed 126/165, Solved: False, number of success = 53/126, acc = 42.06
completed 127/165, Solved: False, number of success = 53/127, acc = 41.73
completed 128/165, Solved: True, number of success = 54/128, acc = 42.19
completed 129/165, Solved: True, number of success = 55/129, acc = 42.64
completed 130/165, Solved: True, number of success = 56/130, acc = 43.08
completed 131/165, Solved: True, number of success = 57/131, acc = 43.51
completed 132/165, Solved: True, number of success = 58/132, acc = 43.94
completed 133/165, Solved: True, number of success = 59/133, acc = 44.36
completed 134/165, Solved: True, number of success = 60/134, acc = 44.78
completed 135/165, Solved: True, number of success = 61/135, acc = 45.19
completed 136/165, Solved: True, number of success = 62/136, acc = 45.59
completed 137/165, Solved: True, number of success = 63/137, acc = 45.99
completed 138/165, Solved: True, number of success = 64/138, acc = 46.38
completed 139/165, Solved: True, number of success = 65/139, acc = 46.76
completed 140/165, Solved: True, number of success = 66/140, acc = 47.14
completed 141/165, Solved: True, number of success = 67/141, acc = 47.52
completed 142/165, Solved: True, number of success = 68/142, acc = 47.89
completed 143/165, Solved: True, number of success = 69/143, acc = 48.25
completed 144/165, Solved: True, number of success = 70/144, acc = 48.61
completed 145/165, Solved: True, number of success = 71/145, acc = 48.97
completed 146/165, Solved: True, number of success = 72/146, acc = 49.32
completed 147/165, Solved: True, number of success = 73/147, acc = 49.66
completed 148/165, Solved: False, number of success = 73/148, acc = 49.32
completed 149/165, Solved: False, number of success = 73/149, acc = 48.99
completed 150/165, Solved: False, number of success = 73/150, acc = 48.67
completed 151/165, Solved: False, number of success = 73/151, acc = 48.34
completed 152/165, Solved: False, number of success = 73/152, acc = 48.03
completed 153/165, Solved: False, number of success = 73/153, acc = 47.71
completed 154/165, Solved: False, number of success = 73/154, acc = 47.4
completed 155/165, Solved: False, number of success = 73/155, acc = 47.1
completed 156/165, Solved: False, number of success = 73/156, acc = 46.79
completed 157/165, Solved: False, number of success = 73/157, acc = 46.5
completed 158/165, Solved: False, number of success = 73/158, acc = 46.2
completed 159/165, Solved: False, number of success = 73/159, acc = 45.91
completed 160/165, Solved: False, number of success = 73/160, acc = 45.62
completed 161/165, Solved: False, number of success = 73/161, acc = 45.34
completed 162/165, Solved: False, number of success = 73/162, acc = 45.06
completed 163/165, Solved: False, number of success = 73/163, acc = 44.79
completed 164/165, Solved: False, number of success = 73/164, acc = 44.51
completed 165/165, Solved: False, number of success = 73/165, acc = 44.24

##################################################
Experiment end results/CC/CoT/gpt-4o/Python3-0.0-0.95-1/Run-1, Time: 2025-12-06 11:43:51.463262
###################################################

