completed 1/150, Solved: False, number of success = 0/1, acc = 0.0
completed 62/150, Solved: False, number of success = 9/62, acc = 14.52
completed 63/150, Solved: False, number of success = 9/63, acc = 14.29
completed 64/150, Solved: False, number of success = 9/64, acc = 14.06
completed 65/150, Solved: False, number of success = 9/65, acc = 13.85
completed 66/150, Solved: False, number of success = 9/66, acc = 13.64
completed 67/150, Solved: False, number of success = 9/67, acc = 13.43
completed 68/150, Solved: False, number of success = 9/68, acc = 13.24
completed 69/150, Solved: False, number of success = 9/69, acc = 13.04
completed 70/150, Solved: False, number of success = 9/70, acc = 12.86
completed 71/150, Solved: False, number of success = 9/71, acc = 12.68
completed 72/150, Solved: False, number of success = 9/72, acc = 12.5
completed 73/150, Solved: False, number of success = 9/73, acc = 12.33
completed 74/150, Solved: False, number of success = 9/74, acc = 12.16
completed 75/150, Solved: False, number of success = 9/75, acc = 12.0
completed 76/150, Solved: False, number of success = 9/76, acc = 11.84
completed 77/150, Solved: False, number of success = 9/77, acc = 11.69
completed 78/150, Solved: False, number of success = 9/78, acc = 11.54
completed 79/150, Solved: False, number of success = 9/79, acc = 11.39
completed 80/150, Solved: False, number of success = 9/80, acc = 11.25
completed 81/150, Solved: False, number of success = 9/81, acc = 11.11
completed 82/150, Solved: False, number of success = 9/82, acc = 10.98
completed 83/150, Solved: False, number of success = 9/83, acc = 10.84
completed 84/150, Solved: False, number of success = 9/84, acc = 10.71
completed 85/150, Solved: False, number of success = 9/85, acc = 10.59
completed 86/150, Solved: False, number of success = 9/86, acc = 10.47
completed 87/150, Solved: False, number of success = 9/87, acc = 10.34
completed 88/150, Solved: False, number of success = 9/88, acc = 10.23
completed 89/150, Solved: False, number of success = 9/89, acc = 10.11
completed 90/150, Solved: False, number of success = 9/90, acc = 10.0
completed 91/150, Solved: False, number of success = 9/91, acc = 9.89
completed 92/150, Solved: False, number of success = 9/92, acc = 9.78
completed 93/150, Solved: False, number of success = 9/93, acc = 9.68
completed 94/150, Solved: False, number of success = 9/94, acc = 9.57
completed 95/150, Solved: False, number of success = 9/95, acc = 9.47
completed 96/150, Solved: False, number of success = 9/96, acc = 9.38
completed 97/150, Solved: False, number of success = 9/97, acc = 9.28
completed 98/150, Solved: False, number of success = 9/98, acc = 9.18
completed 99/150, Solved: False, number of success = 9/99, acc = 9.09
completed 100/150, Solved: False, number of success = 9/100, acc = 9.0
completed 101/150, Solved: False, number of success = 9/101, acc = 8.91
completed 102/150, Solved: False, number of success = 9/102, acc = 8.82
completed 103/150, Solved: False, number of success = 9/103, acc = 8.74
completed 104/150, Solved: False, number of success = 9/104, acc = 8.65
completed 105/150, Solved: False, number of success = 9/105, acc = 8.57
completed 106/150, Solved: False, number of success = 9/106, acc = 8.49
completed 107/150, Solved: False, number of success = 9/107, acc = 8.41
completed 108/150, Solved: False, number of success = 9/108, acc = 8.33
completed 109/150, Solved: False, number of success = 9/109, acc = 8.26
completed 110/150, Solved: True, number of success = 10/110, acc = 9.09
completed 111/150, Solved: True, number of success = 11/111, acc = 9.91
completed 112/150, Solved: False, number of success = 11/112, acc = 9.82
completed 113/150, Solved: False, number of success = 11/113, acc = 9.73
completed 114/150, Solved: False, number of success = 11/114, acc = 9.65
completed 115/150, Solved: False, number of success = 11/115, acc = 9.57
completed 116/150, Solved: False, number of success = 11/116, acc = 9.48
completed 117/150, Solved: True, number of success = 12/117, acc = 10.26
completed 118/150, Solved: False, number of success = 12/118, acc = 10.17
completed 119/150, Solved: False, number of success = 12/119, acc = 10.08
completed 120/150, Solved: False, number of success = 12/120, acc = 10.0
completed 121/150, Solved: False, number of success = 12/121, acc = 9.92
completed 122/150, Solved: False, number of success = 12/122, acc = 9.84
completed 123/150, Solved: False, number of success = 12/123, acc = 9.76
completed 124/150, Solved: False, number of success = 12/124, acc = 9.68
completed 125/150, Solved: False, number of success = 12/125, acc = 9.6
completed 126/150, Solved: False, number of success = 12/126, acc = 9.52
completed 127/150, Solved: False, number of success = 12/127, acc = 9.45
completed 128/150, Solved: True, number of success = 13/128, acc = 10.16
completed 129/150, Solved: False, number of success = 13/129, acc = 10.08
completed 130/150, Solved: False, number of success = 13/130, acc = 10.0
completed 131/150, Solved: False, number of success = 13/131, acc = 9.92
completed 132/150, Solved: False, number of success = 13/132, acc = 9.85
completed 133/150, Solved: False, number of success = 13/133, acc = 9.77
completed 134/150, Solved: False, number of success = 13/134, acc = 9.7
completed 135/150, Solved: False, number of success = 13/135, acc = 9.63
completed 136/150, Solved: False, number of success = 13/136, acc = 9.56
completed 137/150, Solved: False, number of success = 13/137, acc = 9.49
completed 138/150, Solved: False, number of success = 13/138, acc = 9.42
completed 139/150, Solved: False, number of success = 13/139, acc = 9.35
completed 140/150, Solved: False, number of success = 13/140, acc = 9.29
completed 141/150, Solved: False, number of success = 13/141, acc = 9.22
completed 142/150, Solved: False, number of success = 13/142, acc = 9.15
completed 143/150, Solved: True, number of success = 14/143, acc = 9.79
completed 144/150, Solved: False, number of success = 14/144, acc = 9.72
completed 145/150, Solved: True, number of success = 15/145, acc = 10.34
completed 146/150, Solved: False, number of success = 15/146, acc = 10.27
completed 147/150, Solved: False, number of success = 15/147, acc = 10.2
completed 148/150, Solved: True, number of success = 16/148, acc = 10.81
completed 149/150, Solved: False, number of success = 16/149, acc = 10.74
completed 150/150, Solved: False, number of success = 16/150, acc = 10.67

##################################################
Experiment end results/APPS/Direct/gpt-4o/Python3-0.0-0.95-1/Run-1, Time: 2025-12-06 11:59:54.193965
###################################################

